client_id,client_name,client_first_name,client_last_name,client_email,client_gender,client_phone_number
101,"Selective Insurance Group, Inc.",Bert,Sapp,bsapp0@unesco.org,Male,483-444-3644
102,Global Indemnity Limited,Erskine,Edler,eedler1@bizjournals.com,Male,423-507-2160
103,Union Pacific Corporation,Oliver,Braim,obraim2@trellian.com,Male,662-632-8519
104,Jumei International Holding Limited,Gilbert,Watt,gwatt3@imgur.com,Male,959-284-2163
105,"Energy Transfer Equity, L.P.",Kyle,Shoebottom,kshoebottom4@elpais.com,Male,255-916-4606
106,Artisan Partners Asset Management Inc.,Preston,Feaver,pfeaver5@unicef.org,Male,654-681-5725
107,"Cavco Industries, Inc.",Stanislaus,Origan,sorigan6@flickr.com,Male,800-913-7985
108,Great Ajax Corp.,Nico,Antonoyev,nantonoyev7@dyndns.org,Male,806-240-8238
109,Numerex Corp.,Herby,Rodder,hrodder8@smh.com.au,Male,914-942-3359
110,"Caseys General Stores, Inc.",Morse,Peaden,mpeaden9@omniture.com,Male,360-756-1955
111,PIMCO New York Municipal Income Fund III,Missy,Petran,mpetrana@google.com,Female,286-894-5981
112,"Harley-Davidson, Inc.",Land,Airds,lairdsb@earthlink.net,Male,254-531-6418
113,PACCAR Inc.,Aleta,Durbin,adurbinc@canalblog.com,Female,496-504-4923
114,The Charles Schwab Corporation,Ralph,Trenoweth,rtrenowethd@xrea.com,Male,134-834-4661
115,"Telephone and Data Systems, Inc.",Robbi,Alyokhin,ralyokhine@smugmug.com,Female,783-654-1296
116,Fresenius Medical Care Corporation,Jemie,Burley,jburleyf@vk.com,Female,866-691-0176
117,Luna Innovations Incorporated,Harcourt,Coyte,hcoyteg@sina.com.cn,Male,459-209-2981
118,Gabelli NextShares Trust,Gianni,Dimmack,gdimmackh@ed.gov,Male,310-949-9447
119,"PerkinElmer, Inc.",Andeee,Moyer,amoyeri@mac.com,Female,777-137-4159
120,Lancaster Colony Corporation,Latrena,Blockley,lblockleyj@ocn.ne.jp,Female,550-526-2075
121,Flaherty & Crumrine Preferred Securities Income Fund Inc,Una,Rickerby,urickerbyk@cnn.com,Female,684-810-1666
122,BioSpecifics Technologies Corp,Klarrisa,Leathes,kleathesl@shareasale.com,Female,706-662-9350
123,CNA Financial Corporation,Yolanthe,Bour,ybourm@ebay.com,Female,694-172-1443
124,"CNO Financial Group, Inc.",Neils,Mechell,nmechelln@cafepress.com,Male,975-214-0863
125,"Unity Bancorp, Inc.",Eda,Sabin,esabino@simplemachines.org,Female,137-932-1254
126,"Northwest Bancshares, Inc.",Delaney,Matzeitis,dmatzeitisp@theglobeandmail.com,Male,623-960-1144
127,AllianceBernstein Holding L.P.,Obie,Carneck,ocarneckq@com.com,Male,939-723-3691
128,Intercontinental Exchange Inc.,Drusy,Castanos,dcastanosr@berkeley.edu,Female,342-657-7523
129,"Endurance International Group Holdings, Inc.",Cello,Worthington,cworthingtons@deviantart.com,Male,186-834-3949
130,"Southcross Energy Partners, L.P.",Cristian,Payton,cpaytont@163.com,Male,415-930-9283
131,Equity Commonwealth,Bartel,Martynikhin,bmartynikhinu@hibu.com,Male,331-284-6770
132,"IF Bancorp, Inc.",Gloriane,Drinkhall,gdrinkhallv@hugedomains.com,Female,398-191-2659
133,"Liberty TripAdvisor Holdings, Inc.",Rozella,Camilio,rcamiliow@etsy.com,Female,923-950-3302
134,"Silver Spring Networks, Inc.",Carly,Casserley,ccasserleyx@sogou.com,Female,828-152-5878
135,Tekla Healthcare Investors,Emmie,Smorthit,esmorthity@bbb.org,Female,856-704-4557
136,Discover Financial Services,Mateo,Saltman,msaltmanz@angelfire.com,Male,677-554-0315
137,Allegheny Technologies Incorporated,Maynard,Darthe,mdarthe10@pbs.org,Male,117-747-3780
138,PowerShares S&P SmallCap Health Care Portfolio,Del,MacNeillie,dmacneillie11@eventbrite.com,Female,766-680-1046
139,"MACOM Technology Solutions Holdings, Inc.",Pablo,Limpertz,plimpertz12@amazon.co.jp,Male,479-541-7151
140,Glu Mobile Inc.,Ramon,Mackie,rmackie13@1688.com,Male,702-672-1302
141,"Reinsurance Group of America, Incorporated",Joshua,Feore,jfeore14@bigcartel.com,Male,792-927-8379
142,"Blackrock MuniHoldings Quality Fund, Inc.",Nial,Kale,nkale15@google.de,Male,509-209-6290
143,Martin Midstream Partners L.P.,Van,Mocher,vmocher16@homestead.com,Female,306-789-8416
144,"Neenah Paper, Inc.",Marybelle,Leeson,mleeson17@aboutads.info,Female,595-303-8948
145,Markel Corporation,Tracey,McGoogan,tmcgoogan18@dmoz.org,Male,185-716-9135
146,PowerShares DWA Emerging Markets Momentum Portfolio,Merissa,Mattiello,mmattiello19@printfriendly.com,Female,455-681-1542
147,Innocoll Holdings,Fair,Gary,fgary1a@about.me,Male,564-533-7959
148,"Aberdeen Greater China Fund, Inc.",Randi,Haggart,rhaggart1b@topsy.com,Female,322-144-6219
149,"Federated Investors, Inc.",Esther,Khilkov,ekhilkov1c@moonfruit.com,Female,758-871-0022
150,Panhandle Royalty Company,Piper,Kloss,pkloss1d@wp.com,Female,924-357-3570
151,Greif Bros. Corporation,Cobby,Jordon,cjordon1e@spotify.com,Male,771-513-7017
152,"AmTrust Financial Services, Inc.",Sande,Rival,srival1f@uiuc.edu,Female,116-801-4372
153,"Calithera Biosciences, Inc.",Waylon,Brosenius,wbrosenius1g@kickstarter.com,Male,717-854-3543
154,"Medical Transcription Billing, Corp.",Garv,Dightham,gdightham1h@whitehouse.gov,Male,815-804-8697
155,AMC Networks Inc.,Janaya,Avramovich,javramovich1i@discovery.com,Female,359-295-3334
156,Generac Holdlings Inc.,Allx,Rylands,arylands1j@msn.com,Female,742-491-6665
157,Realty Income Corporation,Mervin,Catterson,mcatterson1k@weibo.com,Male,593-541-8003
158,Simmons First National Corporation,Lauren,Grimsdith,lgrimsdith1l@phpbb.com,Female,206-245-2250
159,iShares MSCI EAFE ESG Optimized ETF,Lishe,Smardon,lsmardon1m@diigo.com,Female,466-426-8795
160,TransMontaigne Partners L.P.,Larissa,Niesegen,lniesegen1n@ameblo.jp,Female,704-482-8591
