customer_id,first_name,last_name,date_of_birth,gender,marital_status,social_security_number,nationality,phone_number,email,street,city,state,country,zipcode,occupation,yearly_income,credit_score,username,password
1000,Mirella,Lindell,2/21/1975,Female,Married,458-55-6665,Creek,617-228-8090,mlindell0@wordpress.org,8604 Division Center,Brockton,Massachusetts,United States,2298,Project Manager,84039,819,mlindell0,QAvqEAuy5
1001,Massimiliano,Wincom,6/10/1985,Male,Married,124-57-4845,Guatemalan,781-673-9003,mwincom1@jugem.jp,0 Walton Road,Boston,Massachusetts,United States,2114,Recruiting Manager,137687,730,mwincom1,anvT4ZZKzR
1002,Austin,Besque,11/24/2007,Female,Single,273-87-7075,Cambodian,617-398-7611,abesque2@ask.com,0569 Debs Street,Boston,Massachusetts,United States,2458,Database Administrator II,49634,754,abesque2,aysKPGTERb
1003,Dara,Liley,2/13/2001,Female,Single,353-85-5016,Chamorro,857-691-3343,dliley3@newyorker.com,66 Loftsgordon Trail,New Bedford,Massachusetts,United States,2114,Office Assistant II,45974,808,dliley3,rNKxjdRn4
1004,Sibbie,Petruk,1/27/1976,Female,Single,330-51-4902,Venezuelan,978-343-3681,spetruk4@t.co,3093 Mendota Crossing,Brockton,Massachusetts,United States,2119,Recruiting Manager,131404,788,spetruk4,PeFNR0qk
1005,Finlay,Treneman,9/25/1975,Male,Single,879-62-3994,Chilean,508-791-8071,ftreneman5@reverbnation.com,3776 Kennedy Parkway,Boston,Massachusetts,United States,2405,Food Chemist,68970,795,ftreneman5,jIjeBTvneqCZ
1006,Glendon,Ponnsett,5/15/1968,Male,Single,537-80-7039,South American,318-476-5347,gponnsett6@google.pl,07 Declaration Street,Boston,Massachusetts,United States,2104,Food Chemist,98931,704,gponnsett6,nTz6kIaAyaCI
1007,Warner,Blazej,1/22/1958,Male,Single,773-91-6427,Vietnamese,617-768-0682,wblazej7@squidoo.com,64954 Merrick Street,Springfield,Massachusetts,United States,2298,Librarian,53707,611,wblazej7,JclkoIY2iS5Z
1008,Hilary,Tocknell,4/14/1972,Male,Married,403-72-5389,Bolivian,413-288-6872,htocknell8@rambler.ru,79143 Arapahoe Trail,Brockton,Massachusetts,United States,1114,Electrical Engineer,83967,661,htocknell8,rkDHQwrfbKs9
1009,Bevon,Oneil,7/5/1982,Male,Single,739-17-7191,Cambodian,781-772-8800,boneil9@latimes.com,8 Ludington Hill,Newton,Massachusetts,United States,2142,Staff Accountant IV,92532,810,boneil9,WtX6daEZ
1010,Pauletta,Letchford,12/3/2008,Female,Married,109-98-3453,Panamanian,857-190-0420,pletchforda@washingtonpost.com,68540 Fieldstone Center,Lynn,Massachusetts,United States,2458,Junior Executive,95889,562,pletchforda,h4sv0HV
1011,Kasey,Fontanet,4/30/1951,Female,Married,422-84-0972,Hmong,774-375-0192,kfontanetb@europa.eu,4444 Hermina Hill,Boston,Massachusetts,United States,1610,Chief Design Engineer,45981,552,kfontanetb,Y51UOUlJB
1012,Fidel,Mears,2/12/1998,Male,Married,797-73-2258,Cherokee,339-233-5562,fmearsc@wufoo.com,54 Oak Trail,Cambridge,Massachusetts,United States,1905,Research Assistant II,80564,751,fmearsc,UJf1HXcJ
1013,Demeter,Vinau,10/13/1995,Female,Married,181-78-1540,Pakistani,978-530-3587,dvinaud@ftc.gov,243 Novick Plaza,Woburn,Massachusetts,United States,2283,Pharmacist,65248,565,dvinaud,q8hbes6lHu
1014,Alyce,Eakins,1/27/1969,Female,Married,481-66-9802,White,781-161-3181,aeakinse@livejournal.com,30 Jana Court,Worcester,Massachusetts,United States,2114,Geologist IV,77549,796,aeakinse,CcFbzRU6Z2u
1015,Orly,McDunlevy,7/10/1960,Female,Single,880-32-1367,Seminole,508-550-7978,omcdunlevyf@army.mil,4 Russell Crossing,Woburn,Massachusetts,United States,2405,GIS Technical Architect,116695,687,omcdunlevyf,iypBwQvjnYE
1016,Merralee,Killelea,2/8/1981,Female,Married,433-54-4198,Bolivian,508-144-5570,mkilleleag@smh.com.au,253 Hoffman Hill,Springfield,Massachusetts,United States,2405,Nurse,106603,560,mkilleleag,Ynk9cHj
1017,Barbaraanne,Pitone,1/9/1960,Female,Married,108-32-4403,Thai,508-335-8338,bpitoneh@amazon.de,91474 Sherman Way,Boston,Massachusetts,United States,2745,Research Nurse,72776,774,bpitoneh,I4AnGqCl
1018,Antoni,Jaggard,10/11/1960,Male,Single,849-60-2817,White,617-346-3729,ajaggardi@google.com.au,6 Sycamore Way,Springfield,Massachusetts,United States,2208,Senior Editor,105846,576,ajaggardi,Xh2MARsed34
1019,Cyb,Lanigan,4/30/1955,Female,Single,642-90-3299,Osage,508-188-8863,claniganj@aboutads.info,1 Westridge Crossing,Boston,Massachusetts,United States,2405,Web Designer I,128523,591,claniganj,kO6qSETfLeIs
1020,Ike,Chasles,2/3/1959,Male,Married,272-80-1404,Bangladeshi,508-482-7743,ichaslesk@about.com,6 Morrow Lane,Brockton,Massachusetts,United States,1654,Structural Engineer,77049,823,ichaslesk,F8NIhM8Mi7
1021,Zed,Sammes,9/10/1950,Male,Single,415-48-7230,Uruguayan,617-712-8311,zsammesl@goo.gl,79490 Farragut Trail,Brockton,Massachusetts,United States,2203,Junior Executive,98465,763,zsammesl,5RMR7DulT
1022,Allistir,Stuckow,7/21/1973,Male,Single,853-31-8973,Cuban,508-362-0311,astuckowm@businesswire.com,2 Ramsey Crossing,Brockton,Massachusetts,United States,1610,Sales Associate,97633,664,astuckowm,BObyl0
1023,Genvieve,Drummer,6/9/2005,Female,Married,282-92-9294,Colville,617-132-7678,gdrummern@lulu.com,323 6th Way,Boston,Massachusetts,United States,2216,Librarian,79836,692,gdrummern,CeMUNbER19d
1024,Darwin,Roderick,4/1/1962,Male,Single,850-93-0410,South American,508-985-9628,drodericko@paypal.com,9 Southridge Court,Boston,Massachusetts,United States,2305,Sales Associate,54712,699,drodericko,dy8KXROF
1025,Immanuel,Malone,11/20/1962,Male,Single,652-52-5798,Native Hawaiian,413-477-7287,imalonep@yolasite.com,9550 Sunbrook Point,Worcester,Massachusetts,United States,1129,Payment Adjustment Coordinator,94762,718,imalonep,94MXJwhSmOwf
1026,Bernardina,Grishelyov,4/3/1987,Female,Married,882-57-3482,Tohono O'Odham,339-451-2214,bgrishelyovq@ebay.co.uk,0 Eastwood Street,New Bedford,Massachusetts,United States,1905,Actuary,42794,669,bgrishelyovq,nb5EuhFPCt
1027,Jemmy,MacGray,9/15/1966,Female,Married,668-63-4688,Paiute,508-409-2415,jmacgrayr@mashable.com,50 Carey Pass,Springfield,Massachusetts,United States,2305,Account Executive,133058,745,jmacgrayr,x5LuWp8UFl0
1028,Gavra,Ostrich,7/3/1987,Female,Married,710-12-4422,Asian Indian,508-693-1530,gostrichs@wsj.com,29629 Almo Court,Newton,Massachusetts,United States,2405,Sales Associate,116878,642,gostrichs,1t7kTrrYN
1029,Trixie,Schoffler,4/18/2004,Female,Single,817-50-7946,Crow,617-372-8952,tschofflert@etsy.com,5 Southridge Crossing,Woburn,Massachusetts,United States,2208,Registered Nurse,112280,837,tschofflert,kaCvXy4
1030,Estele,Antalffy,10/13/1999,Female,Married,164-11-6864,Pima,781-422-2472,eantalffyu@forbes.com,196 Upham Court,Newton,Massachusetts,United States,1905,Recruiting Manager,87761,792,eantalffyu,YmsKROsbQuP
1031,Darsey,Govey,8/8/2001,Female,Single,761-63-6100,Asian,413-874-6710,dgoveyv@tiny.cc,28340 Farwell Circle,Lynn,Massachusetts,United States,1105,Nurse,101533,710,dgoveyv,RRXUAKR
1032,Audy,Raddish,6/27/2003,Female,Single,561-95-1537,Cheyenne,508-279-2877,araddishw@purevolume.com,9343 Sutteridge Court,Brockton,Massachusetts,United States,1654,Technical Writer,112252,663,araddishw,nlkOQ4o1Nhy
1033,Bartlet,Edmundson,2/22/1987,Male,Single,729-56-6014,Costa Rican,617-466-0286,bedmundsonx@jigsy.com,43058 Westend Pass,Watertown,Massachusetts,United States,2298,Legal Assistant,49439,792,bedmundsonx,Eu5fW9CqbwJp
1034,Donalt,Purcell,4/14/1991,Male,Single,517-54-8307,Spaniard,508-802-9750,dpurcelly@is.gd,01 Reindahl Circle,Springfield,Massachusetts,United States,1654,Systems Administrator III,117499,785,dpurcelly,zSRGntwtB9
1035,Aurlie,Gentery,2/28/1992,Female,Married,644-25-9501,Malaysian,339-122-0171,agenteryz@cnet.com,8402 Heath Avenue,Boston,Massachusetts,United States,1813,Budget/Accounting Analyst III,107274,601,agenteryz,t4nzNuWryYM9
1036,Gretchen,Daile,2/10/1985,Female,Married,224-92-4111,Chilean,508-637-8385,gdaile10@tmall.com,0 Dapin Parkway,Boston,Massachusetts,United States,1605,Administrative Officer,73578,792,gdaile10,7rH000CvSE
1037,Sanford,Huard,7/7/2011,Male,Married,174-95-5739,Delaware,617-883-7001,shuard11@free.fr,52 Thompson Circle,Springfield,Massachusetts,United States,2216,Media Manager III,67132,731,shuard11,FK9OVYa
1038,Adler,Tejada,11/8/1969,Male,Single,641-81-6071,American Indian and Alaska Native (AIAN),508-372-9854,atejada12@weather.com,54494 Burrows Parkway,Worcester,Massachusetts,United States,2305,Help Desk Operator,131749,574,atejada12,FvBdEUcKZdO3
1039,Freemon,Bray,6/18/2004,Male,Married,403-88-5856,Chippewa,781-615-4071,fbray13@yahoo.co.jp,608 Onsgard Parkway,Boston,Massachusetts,United States,2142,Office Assistant III,98375,764,fbray13,l4vyfK1cv
1040,Lewie,Chatt,8/7/1991,Male,Married,699-08-2755,Osage,617-883-7978,lchatt14@wikispaces.com,85 Rutledge Terrace,Woburn,Massachusetts,United States,2124,Paralegal,35707,706,lchatt14,XjeGu86Qqa
1041,Isador,Kaindl,11/15/2001,Male,Single,803-28-2162,Navajo,508-339-2860,ikaindl15@salon.com,2 David Avenue,Springfield,Massachusetts,United States,2405,Compensation Analyst,84207,790,ikaindl15,iBCQfQz
1042,Meredith,Doberer,10/10/1976,Female,Single,546-04-6259,Chinese,508-817-1857,mdoberer16@alibaba.com,0973 Fairview Alley,Boston,Massachusetts,United States,2305,VP Sales,144856,701,mdoberer16,hVGOTHl
1043,Gery,Hasley,2/21/1957,Male,Single,785-02-7739,Puget Sound Salish,617-119-5137,ghasley17@geocities.jp,74588 Northview Alley,Brockton,Massachusetts,United States,2208,Administrative Officer,75251,814,ghasley17,asOqnc
